Muscle,Location,Origin,Insertion,Artery,Nerve,Action,Antagonist,O,TA
adductor longus,"Lower limb, Thigh/Hip, Medial compartment (adductor muscles)",pubic body just below pubic crest,middle third of linea aspera,obturator artery,anterior branch of obturator nerve,adducts and medially rotates hip,"gluteus medius, gluteus minimus",2,1
"adductor magnus, adductor part","Lower limb, Thigh/Hip, Medial compartment (adductor muscles)",pubis,"femur, adductor tubercle of femur",obturator artery,posterior branch of obturator nerve (adductor) and tibial part of sciatic nerve (vertical head),adducts hip,"gluteus medius, gluteus minimus",2,3
adductor minimus,"Lower limb, Thigh/Hip, Medial compartment (adductor muscles), part of adductor magnus",Inferior ramus,Linea aspera of the femur,Obturator artery and the medial circumflex femoral artery of the femoral artery.,Obturator and tibial nerves,Adduction and lateral rotation of thigh,"gluteus medius, gluteus minimus",2,3
"adductor magnus, ischiocondylar part","Lower limb, Thigh/Hip, Medial compartment (adductor muscles)",pubis,"femur, adductor tubercle of femur",obturator artery,posterior branch of obturator nerve (adductor) and tibial part of sciatic nerve (vertical head),adducts hip,"gluteus medius, gluteus minimus",2,3
tibialis anterior,"Lower limb, Leg, Anterior Compartment",body of tibia,medial cuneiform and first metatarsal bones of foot,anterior tibial artery,deep fibular nerve,dorsiflexes and inverts foot,"fibularis longus, gastrocnemius, soleus, plantaris, tibialis posterior",2,1
extensor hallucis longus,"Lower limb, Leg, Anterior Compartment","middle portion of anterior surface of fibula, anterior surface of interosseous membrane",dorsal side of base of distal phalanx of hallux,anterior tibial artery,deep fibular nerve,"extends big toe, assists in dorsiflexion of foot at ankle, weakly inverts foot","flexor hallucis longus, flexor hallucis brevis",2,1
extensor digitorum longus,"Lower limb, Leg, Anterior Compartment","lateral condyle of tibia, superior ¾ of interosseous membrane",middle and distal phalanges of lateral four digits,anterior tibial artery,deep fibular nerve,extension of toes and ankle,"flexor digitorum longus, flexor digitorum brevis",2,1
fibularis tertius,"Lower limb, Leg, Anterior Compartment",distal anterior surface of fibula,dorsal surface of fifth metatarsal,anterior tibial artery,deep fibular nerve,dorsi flexes and everts foot,,2,1
gastrocnemius,"Lower Limb, Leg, Calf",medial condyle and lateral condyle of femur,calcaneus,sural arteries,"tibial nerve from sciatic nerve, specifically, nerve roots S1, S2","plantarflexes ankle, flexes knee (minor)",tibialis anterior,2,1
soleus,"Lower Limb, Leg, Calf","fibula, medial border of tibia (soleal line)",tendo calcaneus,sural arteries,"tibial nerve, specifically, nerve roots L5–S2",plantarflexes ankle,tibialis anterior,2,1
plantaris,"Lower Limb, Leg, Posterior compartment, Superficial",lateral supracondylar ridge of femur above lateral head of gastrocnemius,"calcaneal tendon (medial side, deep to gastrocnemius tendon)",sural arteries,tibial nerve,"plantarflexes ankle, flexes knee",tibialis anterior,2,1
popliteus,"Lower Limb, Leg, Posterior compartment, Deep",middle facet of lateral surface of lateral femoral condyle,posterior tibia under tibial condyles,popliteal artery,tibial nerve,medially rotates and flexes knee,,2,1
flexor hallucis longus,"Lower Limb, Leg, Posterior compartment, Deep, tarsal tunnel",posterior surface of upper 1/3 of fibula,base of distal phalanx of hallux,fibular artery (peroneal branch of posterior tibial artery,"tibial nerve, S1, S2 nerve roots","flexes all joints of big toe, plantarflexes ankle",extensor hallucis longus,2,1
flexor digitorum longus,"Lower Limb, Leg, Posterior compartment, Deep, tarsal tunnel",medial tibia,distal phalanges of lateral four digits,posterior tibial artery,tibial nerve,flexes toes,"extensor digitorum longus, extensor digitorum brevis",2,1
tibialis posterior,"Lower Limb, Leg, Posterior compartment, Deep, tarsal tunnel","tibia, fibula","navicular, medial cuneiform",posterior tibial artery,tibial nerve,"inverts foot, plantarflexes foot at ankle",tibialis anterior,2,1
fibularis longus,"Lower Limb, Leg, Lateral compartment",fibula,"first metatarsal, medial cuneiform",fibular artery,superficial fibular nerve,plantarflexes and everts ankle,tibialis anterior,2,1
fibularis brevis,"Lower Limb, Leg, Lateral compartment",fibula,fifth metatarsal,fibular artery,superficial fibular nerve,plantarflexes and everts ankle,tibialis posterior,2,1
extensor digitorum brevis,"Lower limb, Foot, Dorsal, left/right",calcaneus,toes,,deep fibular nerve,"extends digits 2, 3, and 4","flexor digitorum longus, flexor digitorum brevis",2,1
extensor hallucis brevis,"Lower limb, Foot, Dorsal, left/right",calcaneus,base of proximal phalanx of big toe,,deep fibular nerve,extends big toe,flexor hallucis brevis,2,1
dorsal interossei (foot) 1-4,"Lower limb, Foot, Dorsal / Fourth layer, left/right",metatarsals,proximal phalanges,,"lateral plantar nerve(fourth interosseous space: superficial branch others: deep branch), first and second interossei: lateral branch of deep fibular nerve",abducts toes,plantar interossei,8,1
abductor hallucis,"Lower limb, plantar, first layer, left/right","medial process of calcaneus, flexor retinaculum, plantar aponeurosis",medial side of base of proximal phalanx of first digit,,medial plantar nerve,abducts hallux,adductor hallucis,2,1
flexor digitorum brevis,"Lower limb, plantar, first layer, left/right","medial process of calcaneus, plantar aponeurosis, intermuscular septa",middle phalanges of digits 2–5,,medial plantar nerve,flexes lateral four toes,"extensor digitorum longus, extensor digitorum brevis",2,1
abductor digiti minimi (foot),"Lower limb, plantar, first layer, left/right",plantar aponeurosis,phalanges of fifth toe,lateral plantar artery,"lateral plantar nerve (S1, S2)",flexes and abducts fifth toe,flexor digiti minimi brevis (foot),2,1
Abductor of fifth metatarsal abductor ossis metatarsi quinti (foot),"Lower limb, plantar, first layer, left/right",calcaneus,fifth toe,lateral plantar artery,"lateral plantar nerve (S1, S2)",abducts fifth toe,flexor digiti minimi brevis (foot),0,1
quadratus plantae,"Lower limb, plantar, second layer, left/right",calcaneus,tendons of flexor digitorum longus,,"lateral plantar nerve (S1, S2)",flexes distal interphalangeal joints (assists flexor digitorum longus),,2,1
lumbricals of the foot 1-4,"Lower limb, plantar, second layer, left/right",tendons of flexor digitorum longus,medial surface of extensor expansion of proximal phalanges of lateral four toes,"lateral plantar artery, plantar arch, four plantar metatarsal arteries",lateral plantar nerve (lateral three lumbricals) and medial plantar nerve (first lumbrical),maintain extension of digits at interphalangeal joints,,8,1
flexor hallucis brevis,"Lower limb, plantar, Third layer, left/right","plantar surface of cuneiforms, plantar calcaneocuboid ligament, long plantar ligament","medial head: medial sesamoid bone of metatarsophalangeal joint, proximal phalanx of great toe
lateral head: lateral sesamoid bone of metatarsophalangeal joint, proximal phalanx of great toe",,medial plantar nerve,flexes big toe,extensor hallucis longus,2,1
adductor hallucis,"Lower limb, plantar, Third layer, left/right","oblique head: proximal ends of middle 3 metatarsals
transverse head: metatarsophalangeal joints, ligaments of lateral 3 toes","lateral side of base of proximal phalanx of big toe, sesamoid",,lateral plantar nerve,adducts big toe,abductor hallucis,2,1
flexor digiti minimi brevis (foot),"Lower limb, plantar, Third layer, left/right",fifth metatarsal bone,phalanx of fifth toe,,lateral plantar nerve (superficial branch),extends and adducts fifth toe,abductor digiti minimi,2,1
opponens digiti minimi muscle of foot (opponens digiti quinti),"Lower limb, plantar, first layer, left/right",?,middle phalanges of digit 5,,?,?,?,0,1
plantar interossei 1-3,"Lower limb, plantar, Fourth layer, left/right",tendons of plantar Interossei,proximal phalanges III-V - muscles cross the metatarsophalangeal joint of toes III-V so the insertions correspond with the origin and there is no crossing between toes,"plantar arch, dorsal metatarsal artery",lateral plantar nerve,"adducts toes 3 - 5, strengthens transverse arch",dorsal interossei,6,1
